unit;;;01.01.2023;;;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kWh/l];[kgCO2e/l];[kgCO2e/l];;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];[g co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[km];[km];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];;;;;;
Quelle;;;FZ27.11,KBA;;1;1;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN;DIN ;DIN ;;DIN ;DIN ;DIN ;;;;DIN ;DIN ;DIN ;;;BA IFKM ;eigene Umrechnung;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;agora ;agora ;;;;
description;;;;;icev+hev are one class;;;;;;;;;;;;;;;;;;;an Gesamt Benzin;eigene Berechnung;;;;eigene Berechnung;;;;;;eigene Berechnung;;;;;;1kWh=3,6 MJ;;;;;;;;;;;;;;;;;;;;;;;;;Zahl mit 0,68 multipliziert;;;;
vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;share_on_total_vehicles_of_class;share_of_2022;total_number_of_cars_in_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;energy_E5_kWh;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;energy_E10_kWh;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;share_D7_totaldiesel;energy_diesel_kWh;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;co2e_hvo_WtW_kwh;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;range_wltp;range_wltp_city;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;former_emission_targets_germany_2030;former_emission_targets_germany_2030_fleet;new_emission_targets_germany_2030;new_emission_targets_germany_2030_fleet;reference_path_emission_target_2030;reference_path_emission_target_2030;co2e_2025;co2e_2030;co2e_2035;co2e_2040;co2e_2045;co2e_2050
phev;Utilities;VWMultivan;2,43E+04;9,03E-05;0,028217761;4,87E-03;5000000;2257;2182;130;2052;30,375;2021,625;13739;hybrid;1,8;17,3;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;50;0;13;85;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
phev;Wohnwagen;not available ;2,90E+01;1,08E-07;3,35846E-05;5,80E-06;5000000;0;0;0;0;0;0;13739;hybrid;0;0;;2,9;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0;0;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
bev;Mini;fiat500e;1777072,741;0,004271934;1,766031512;0,197452527;9000000;1330;1255;182;1073;0;1073;13739;battery;0;13;;2,7;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;190;257;23,8;70;0;50;27;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
bev;Kleinwagen;renaultzoe;1957313,874;0,004705219;1,945152778;0,217479319;9000000;1577;1502;326;1176;0;1176;13739;battery;0;17,2;;2,7;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;316;0;44,1;80;0;50;27;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
bev;Kompaktklasse;VWID.3;1236465,617;0,00297236;1,228783264;0,137385069;9000000;1815;1740;364;1376;0;1376;13739;battery;0;15,2;;2,7;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;429;587;62;150;0;50;27;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
bev;Mittelklasse;Model3;785692,8483;0,00188874;0,780811217;0,087299205;9000000;1825;1750;310;1440;0;1440;13739;battery;0;14,4;;2,7;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;491;0;62;208;0;50;27;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
bev;obereMittelklasse;i4;2,86E+04;6,87E-05;0,028389903;3,17E-03;9000000;2125;2050;419,5;1630,5;0;1630,5;13739;battery;0;16,3;;2,7;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;584;0;83,9;250;0;50;27;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
bev;Oberklasse;Taycan;215292,9882;0,000517546;0,213955339;0,023921443;9000000;2125;2050;396;1654;0;1654;13739;battery;0;20,3;;2,7;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;432;451;79,2;300;0;50;27;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
bev;SUV;ModelY;2521282,939;0,006060953;2,505617816;0,280142549;9000000;1984;1909;475;1434;0;1434;13739;battery;0;15,7;;2,7;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;455;0;62;220;0;50;27;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
bev;Gel‰ndewagen;Q8;300968,3459;0,000723503;0,299098383;0,033440927;9000000;2585;2510;475;2035;0;2035;13739;battery;0;20,3;;2,7;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;488;0;95;200;200;50;27;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
bev;Sportwagen;not available ;3,13E+02;7,53E-07;0,000311098;3,48E-05;9000000;0;0;0;0;0;0;13739;battery;0;0;;2,7;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0;0;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
bev;MiniVan;Kiae-Soul;57081,12878;0,000137218;0,056726475;0,006342348;9000000;1610;1535;315;1220;0;1220;13739;battery;0;15,6;;2,7;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;276;407;42;100;0;50;27;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
bev;GroﬂraumVans;pro ace city toyota ;3,08E+04;7,40E-05;0,030603142;3,42E-03;9000000;1664;1589;250;1339;0;1339;13739;battery;0;19,4;;2,7;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;284;425;50;100;0;50;27;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
bev;Utilities;e-Sprinter;88591,12827;0,000212966;0,088040698;0,009843459;9000000;2455;2380;205;2175;0;2175;13739;battery;0;33,9;;2,7;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;120;0;41;85;0;50;27;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
bev;Wohnwagen;not available ;5,63E+02;1,35E-06;0,000559976;6,26E-05;9000000;0;0;0;0;0;0;13739;battery;0;0;;2,7;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0;0;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
lkw;MittelschwererLkwimVerteilverkehrICEDiesel;;;;;;;12800;;;;;12800;50000;lkw_diesel;25,66;254;;3,365625;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0;0;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
lkw;SchwererLKWimTransitverkehrICEDiesel;;;;;;;14700;;;;;14700;50000;lkw_diesel;31,9;316;;3,458639456;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0;0;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
lkw;MittelschwererLKWimurbanenVerteilerverkehrBEV-EEONC;;;;;;;11300;;;;;11300;50000;lkw_battery;0;110;;6,954247788;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0;0;0;0;270;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
lkw;MittelschwererLKWimurbanenVerteilerverkehrBEV-ATONC;;;;;;;11300;;;;;11300;50000;lkw_battery;0;110;;6,954247788;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0;0;0;0;270;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
lkw;SchwererLKWimTransitverkehrBEV-AT-OL;;;;;;;13200;;;;;13200;50000;lkw_battery;0;155;;6,318257576;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0;0;0;0;350;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
lkw;SchwererLKWimTransitverkehrBEV-EE-OL;;;;;;;13200;;;;;13200;50000;lkw_battery;0;155;;6,318257576;48,8;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,152;0;0;0;0;0;0;350;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00
