unit;;;01.01.2023;;;;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kWh/l];[kgCO2e/l];[kgCO2e/l];;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];[g co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[km];[km];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];;;;;;
Quelle;;;FZ27.11,KBA;;;;;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN;DIN ;DIN ;;DIN ;DIN ;DIN ;;;;DIN ;DIN ;DIN ;;;BA IFKM ;eigene Umrechnung;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;;;;;;
description;;;;;icev+hev are one class;;;;;;;;;;;;;;;;;;;;an Gesamt Benzin;eigene Berechnung;;;;eigene Berechnung;;;;;;eigene Berechnung;;;;;;1kWh=3,6 MJ;;;;;;2,686 kg co2e/l;;;;;;;;;;;;;;;;;;;;;;;
vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;share_on_total_vehicles_of_class;share_of_2022; total_number_of_cars_in_class ;copy_share_on_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;energy_E5_kWh;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;energy_E10_kWh;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;share_D7_totaldiesel;energy_diesel_kWh;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;co2e_hvo_WtW_kwh;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;range_wltp;range_wltp_city;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;former_emission_targets_germany_2030;former_emission_targets_germany_2030_fleet;new_emission_targets_germany_2030;new_emission_targets_germany_2030_fleet;reference_path_emission_target_2030;reference_path_emission_target_2030;co2e_2025;co2e_2030;co2e_2035;co2e_2040;co2e_2045;co2e_2050
hev;obereMittelklasse;;150573;0,00321337;0,012226855;0,102398917; 1.470.455 ;0,002754845;1972;1897;6;1891;43,875;1847,125;13739;diesel;7,4;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;Oberklasse;;23436;0,000500146;0,000724992;0,015937924; 1.470.455 ;0,000428779;2238;2163;6;2157;48,6;2108,4;13739;gasoline;9,5;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;SUV;hyundai kona ;301941;0,006443706;0,009340537;0,205338484; 1.470.455 ;0,005524236;1698;1623;6;1617;34,425;1582,575;13739;gasoline;6,1;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;Gel‰ndewagen;nissan x-trail;190283;0,004060819;0,015451394;0,129404164; 1.470.455 ;0,00348137;2005;1930;6;1924;39,15;1884,85;13739;diesel;7,1;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;Sportwagen;;10419;0,000222351;0,000322312;0,007085562; 1.470.455 ;0,000190623;1683;1608;6;1602;43,2;1558,8;13739;gasoline;8,4;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;MiniVan;;1001;2,13623E-05;8,12834E-05;0,000680742; 1.470.455 ;1,8314E-05;1651;1576;6;1570;33,75;1536,25;13739;diesel;5,6;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;GroﬂraumVans;;11027;0,000235327;0,00034112;0,007499039; 1.470.455 ;0,000201747;1847;1772;6;1766;39,15;1726,85;13739;gasoline;4,5;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;Utilities;;8598;0,000183489;0,000698176;0,00584717; 1.470.455 ;0,000157307;2062;1987;6;1981;54;1927;13739;diesel;7;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
hev;Wohnwagen;;46;9,81683E-07;3,7353E-06;3,12828E-05; 1.470.455 ;8,41604E-07;2966;2891;6;2885;50,625;2834,375;13739;diesel;7,5;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,299;0;0;0,4;6;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;Mini;not available ;0;0;;0; 1.410.000 ;0;0;0;0;0;0;0;13739;hybrid;0;0;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;Kleinwagen;Golf; 23.489 ;0,00050128;0,01665894;0,01665894; 1.410.000 ;0,000262965;1624;1549;130;1419;23,625;1395,375;13739;hybrid;1,1;14,4;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,299;64;;13;85;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;Kompaktklasse;A3; 288.924 ;0,006165918;0,20491087;0,20491087; 1.410.000 ;0,00323456;1635;1560;130;1430;27;1403;13739;hybrid;1,1;14,4;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,299;66;73;12,8;85;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;Mittelklasse;VWPassat; 221.240 ;0,004721474;0,156907902;0,156907902; 1.410.000 ;0,002476823;1759;1684;130;1554;33,75;1520,25;13739;hybrid;1,3;16,3;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,299;;;13;85;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;obereMittelklasse;E300e9G-Tronics; 104.989 ;0,00224057;0,074460465;0,074460465; 1.410.000 ;0,001175374;1985;1910;135;1775;33,75;1741,25;13739;hybrid;1,5;17;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,299;51;;13,5;90;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;Oberklasse;Porschepanamera; 15.708 ;0,000335233;0,011140731;0,011140731; 1.410.000 ;0,000175859;2285;2210;179;2031;54;1977;13739;hybrid;2,3;23,6;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,299;54;;17,9;100;0;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
phev;SUV;Renaultcapture; 435.510 ;0,009294199;0,308872482;0,308872482; 1.410.000 ;0,004875615;1616;1541;103;1438;26,325;1411,675;13739;hybrid;1,5;17,3;;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,299;54;65;9,8;49;25;0;0;-20;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;1,17E+11;42000000000;;79560000000;;;28600000000;
