vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;average_vehicle_weight;battery_weight;vehicleweight_w/o_battery;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;consumption_AdBlue;co2e_production_bestcase;co2e_production;co2e_production_worstcase;co2e_battery_production_bestcase;co2e_battery_production;co2e_battery_production_worstcase;co2e_electric_engine_bestcase;co2eelectricengine;co2eelectricengineworstcase;co2edrivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;co2e_hvo_TtW;co2e_hvo_WtW;co2e_ptl_TtW;co2e_ptl_WtW;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity;rangewltp;rangewltpcity;batterycapacitybrutto;batterycapacitynetto;powercumbustionengine;powerelectricengine;powerelectricengine2;weightelectricengine;weightelectricdrivechain;co2esavingsbattery;emissiontargetsgermany
phev;obereMittelklasse;E300e9G-Tronics;64243;;1985;;;13739;super;1,5;17;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;51;;13,5;;155;90;;;;;
phev;Oberklasse;Porschepanamera;9612;;2285;;;13739;superplus;2,3;23,6;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;54;;17,9;14,3;243;100;;;;;
phev;SUV;Renaultcapture;266489;;1616;103;;13739;super;1,5;17,3;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;54;65;9,8;;68;49;25;;;;
phev;Gel‰ndewagen;volvoXC40;171004;;1812;;;13739;super;2,1;15,2;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;45;55;10,7;;132;60;;;;;
phev;Sportwagen;Porschepanamera;2136;;2285;;;13739;0;0;0;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
phev;MiniVan;Peogeot3008;18545;;1908;;;13739;super;1,3;15,3;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;63;74;14,2;12,9;147;81;83;;;;
phev;GroﬂraumVans;;2;;0;;;13739;0;0;0;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
phev;Utilities;VWMultivan;4201;;2257;;;13739;super;1,8;17,3;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;50;;13;10,4;110;85;;;;;
phev;Wohnwagen;;5;;;;;13739;;0;0;;;;;;;;;;;;;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;;;;;;;;;;;
bev;Mini;fiat500e;198687;;1330;182;1148;13739;battery;0;13;;;;6,2;;;82,5;;;4,5;;42;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;190;257;23,8;21,3;;70;;50;27;;
bev;Kleinwagen;renaultzoe;218839;;1577;326;1251;13739;battery;0;17,2;;;;6,2;;;82,5;;;4,5;;42;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;316;;44,1;41;;80;;50;27;;
bev;Kompaktklasse;VWID.3;138244;;1815;364;1451;13739;battery;0;15,2;;;;6,2;;;82,5;;;4,5;;42;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;429;587;62;58;;150;;50;27;;
bev;Mittelklasse;Model3;87845;;1825;;;13739;battery;0;14,4;;;;6,2;;;82,5;;;4,5;;42;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;491;;;62;;208;;50;27;;
bev;obereMittelklasse;i4;3194;;2125;550;1575;13739;battery;0;16,3;;;;6,2;;;82,5;;;4,5;;42;0,95;2,3;2,8;0,05;2,18;2,72;1;2,48;3,15;;;;;;;;584;;83,9;81,1;;250;;50;27;;
