unit;;;01.01.2023;;;;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kWh/l];[kgCO2e/l];[kgCO2e/l];;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];[g co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[km];[km];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];[kg CO2e];;;;;;;;;
Quelle;;;FZ27.11,KBA;;;;;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN;DIN ;DIN ;;DIN ;DIN ;DIN ;;;;DIN ;DIN ;DIN ;;;BA IFKM ;eigene Umrechnung;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;Klimapfade 2.0 ;;;;;;;;;
description;;;;;;;;;;;;;;;;;;;;;;;;;an Gesamt Benzin;eigene Berechnung;;;;eigene Berechnung;;;;;;eigene Berechnung;;;;;;1kWh=3,6 MJ;;;;;;;;;;;;;;;;;;;;;;;;;;;
vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;share_on_total_vehicles_of_class;share_of_2022;total_number_of_cars_in_class;copy_share_on_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;energy_E5_kWh;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;energy_E10_kWh;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;share_D7_totaldiesel;energy_diesel_kWh;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;co2e_hvo_WtW_kwh;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;range_wltp;range_wltp_city;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;new_emission_targets_germany_2030;co2e_2025;emission_target_2030;co2e_2035;co2e_2040;emission_target_2045;co2e_2050;emission_target_de_30;emission_target_de_40;emission_target_de_45
phev;Kleinwagen;Golf;22489,57;0,000500958;0,01665894;0,01665894;1350000,00;0,000262965;1624;1549;130;1419;23,625;1395,375;13739;hybrid;1,1;14,4;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;64;;13;85;0;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
phev;Kompaktklasse;A3;276629,67;0,00616196;0,20491087;0,20491087;1350000,00;0,00323456;1635;1560;130;1430;27;1403;13739;hybrid;1,1;14,4;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;66;73;12,8;85;0;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
phev;Mittelklasse;VWPassat;211825,67;0,004718443;0,156907902;0,156907902;1350000,00;0,002476823;1759;1684;130;1554;33,75;1520,25;13739;hybrid;1,3;16,3;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;;;13;85;0;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
phev;obereMittelklasse;E300e9G-Tronics;100521,63;0,002239132;0,074460465;0,074460465;1350000,00;0,001175374;1985;1910;135;1775;33,75;1741,25;13739;hybrid;1,5;17;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;51;;13,5;90;0;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
phev;Oberklasse;Porschepanamera;15039,99;0,000335018;0,011140731;0,011140731;1350000,00;0,000175859;2285;2210;179;2031;54;1977;13739;hybrid;2,3;23,6;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;54;;17,9;100;0;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
phev;SUV;Renaultcapture;416977,85;0,009288234;0,308872482;0,308872482;1350000,00;0,004875615;1616;1541;103;1438;26,325;1411,675;13739;hybrid;1,5;17,3;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;54;65;9,8;49;25;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
phev;Gel‰ndewagen;volvoXC40;267571,57;0,00596019;0,198201164;0,198201164;1350000,00;0,003128646;1812;1737;107;1630;32,4;1597,6;13739;hybrid;2,1;15,2;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;45;55;10,7;60;0;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
phev;Sportwagen;Porschepanamera;3342,22;7,44484E-05;0,002475718;0,002475718;1350000,00;3,90797E-05;2285;2210;179;2031;54;1977;13739;hybrid;2,3;23,6;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;54;;17,9;100;0;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
phev;MiniVan;Peogeot3008;29017,54;0,000646369;0,021494471;0,021494471;1350000,00;0,000339295;1908;1833;142;1691;29,025;1661,975;13739;hybrid;1,3;15,3;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;63;74;14,2;81;83;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
phev;GroﬂraumVans;not available ;3,13;6,97082E-08;2,31809E-06;2,31809E-06;1350000,00;3,65915E-08;0;0;0;0;0;0;13739;hybrid;0;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,149;0;0;0;0;0;0;0;-20;-2,93;57800000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
