unit;;;01.01.2023;;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kg co2e/l];[kg co2e/l];;[kg co2e/l];[kg co2e/l];;[kg co2e/l];[kg co2e/l];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];;;;;;[kg CO2e];[kg CO2e];[kg CO2e];;
Quelle;;;FZ27.11,KBA;;aus Baseline 22;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;REDII;;REDII;REDII;;REDII;REDII;;;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;agora ;;;;;;;;;
description;;;;; ;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agora*0,68;agora*0,68;agora*0,68;;
vehicle_class;segments;used_model;number_of_cars_in_segment;shareontotalvehicles;share_of_segment_on_total_vehicles_of_class;total_number_of_cars_in_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;emission_target_2025;emission_target_2035;emission_target_de_30;emission_target_de_40;emission_target_de_45;path_emission_2030;path_emission_2040;path_emission_2045;;
hev;obereMittelklasse;fiat500;0;0,003237444;0,102398917;0;1972;1897;6;1891;43,875;1847,125;12500;diesel;7,4;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;2101,193;0
hev;Oberklasse;kia rio;0;0,000503893;0,015937924;0;2238;2163;6;2157;48,6;2108,4;12500;gasoline;9,5;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;2697,4775;0
hev;SUV;Golf ;0;0,00649198;0,205338484;0;1698;1623;6;1617;34,425;1582,575;12500;gasoline;6,1;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;1732,0645;0
hev;Gel‰ndewagen; C-Klasse;0;0,004091241;0,129404164;0;2005;1930;6;1924;39,15;1884,85;12500;diesel;7,1;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;2016,0095;0
hev;Sportwagen;A6;0;0,000224017;0,007085562;0;1683;1608;6;1602;43,2;1558,8;12500;gasoline;8,4;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;2385,138;0
hev;MiniVan;A8 ;0;0,0000215;0,000680742;0;1651;1576;6;1570;33,75;1536,25;12500;diesel;5,6;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;1590,092;0
hev;GroﬂraumVans;x1;0;0,00023709;0,007499039;0;1847;1772;6;1766;39,15;1726,85;12500;gasoline;4,5;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;1277,7525;0
hev;Utilities;nissan x-trail;0;0,000184864;0,00584717;0;2062;1987;6;1981;54;1927;12500;diesel;7;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;1987,615;0
hev;Wohnwagen;mercedes sl;0;0,000000989;3,12828E-05;0;2966;2891;6;2885;50,625;2834,375;12500;diesel;7,5;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;90440000000;27200000000;57800000000;20400000000;0;33320000000;4760000000;0;2129,5875;0
phev;Mini;B-Klasse;0;0;0;2000000;0;0;0;0;0;0;12500;hybrid;0;0;;2,9;48,8;1,7;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;9,04E+10;2,72E+10;5,78E+10;2,04E+10;0;33320000000;4760000000;0;0;0
