unit;;;01.01.2023;350501;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;;[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];;;;;[kg CO2e];[kg CO2e];[kg CO2e];;
Quelle;;;FZ27.11,KBA;aus Baseline 22;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;REDII;;;;;;;;;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;;;;;;;;;
description;;;; ;;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eigene Berechnung ;eigene Berechnung ;eigene Berechnung ;eigene Berechnung ;;
vehicle_class;segments;used_model;number_of_cars_in_segment;share_of_segment_on_total_vehicles_of_class;total_number_of_cars_in_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;emission_target_de_30;emission_target_de_40;emission_target_de_45;path_emission_2030;path_emission_2035;path_emission_2040;path_emission_2045;ttw;
HEV;upper mid range vehicle;A6;150573;0,355592134;423443;1972;1897;6;1891;43,875;1847,125;12545;diesel;7,4;0;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;1765,832193;
HEV;top range vehicle;A8 ;23436;0,022130165;1059007;2238;2163;6;2157;48,6;2108,4;12545;gasoline;9,5;0;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;1629,942997;
HEV;SUV;x1;301941;0,285117096;1059007;1698;1623;6;1617;34,425;1582,575;12545;gasoline;6,1;0;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;1046,594977;
HEV;off-road;nissan x-trail;190283;0,44937099;423443;2005;1930;6;1924;39,15;1884,85;12545;diesel;7,1;0;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;1694,244401;
HEV;sportcar;mercedes sl;10419;0,009838462;1059007;1683;1608;6;1602;43,2;1558,8;12545;gasoline;8,4;0;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;1441,212755;
HEV;minivan;B-Klasse;1001;0,002363955;423443;1651;1576;6;1570;33,75;1536,25;12545;diesel;5,6;0;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;1336,305443;
HEV;large van;peugeot 5008;11027;0,010412585;1059007;1847;1772;6;1766;39,15;1726,85;12545;gasoline;4,5;0;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;772,0782615;
HEV;Utilities;ford transit ;8598;0,020304976;423443;2062;1987;6;1981;54;1927;12545;diesel;7;0;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;1670,381804;
HEV;caravan;land rover defender ;46;0,000108633;423443;2966;2891;6;2885;50,625;2834,375;12545;diesel;7,5;0;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0,4;6;0;0;0;-20;-2,93;57800000000;20400000000;0;79560000000;55310666193;16100000000;0;1789,69479;
PHEV;mini;not available ;0,00;0;1350000;0;0;0;0;0;0;12545;hybrid;0;0;;7,2;82,5;1,7;4,5;42;0,325;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;0,767;2,48;3,15;0,237;0;0,51;0,16;0;0,48;0,237;0;0,502;0;0,014;0;0;0;0;0;-20;-2,93;5,78E+10;2,04E+10;0;79560000000;55310666193;16100000000;0;0;
