unit;;;01.01.2023;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kWh/l];[kgCO2e/l];[kgCO2e/l];;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];[g co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[km];[km];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];[kg CO2e];[kg CO2e];;;
Quelle;;;FZ27.11,KBA;aus Baseline 22;aus Studie ;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN;DIN ;DIN ;;DIN ;DIN ;DIN ;;;;DIN ;DIN ;DIN ;;;BA IFKM ;eigene Umrechnung;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;Klimapfade 2.0 ;Klimapfade 2.0 ;;;
description;;;;;;;;;;;;;;;;;;;;;;an Gesamt Benzin;eigene Berechnung;;;;eigene Berechnung;;;;;;eigene Berechnung;;;;;;1kWh=3,6 MJ;;;;;;;;;;;;;;;;;;referenzpfad 2030 * 0,68;referenzpfad 2030 * 0,68;;;
vehicle_class;segments;used_model;number_of_cars_in_segment;share_of_segment_on_total_vehicles_of_class;total_number_of_cars_in_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;energy_E5_kWh;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;energy_E10_kWh;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;share_D7_totaldiesel;energy_diesel_kWh;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;co2e_hvo_WtW_kwh;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;range_wltp;range_wltp_city;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;path_emissiont_2030;path_emission_2045;emission_target_de_30;emission_target_de_40;emission_target_de_45
hev;obereMittelklasse;A6;150573,00;0,355592134;423443;1972;1897;6;1891;43,875;1847,125;13739;diesel;7,4;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;Oberklasse;A8 ;23436;0,022130165;1059007;2238;2163;6;2157;48,6;2108,4;13739;gasoline;9,5;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;SUV;x1;301941,00;0,285117096;1059007;1698;1623;6;1617;34,425;1582,575;13739;gasoline;6,1;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;Gel‰ndewagen;nissan x-trail;190283,00;0,44937099;423443;2005;1930;6;1924;39,15;1884,85;13739;diesel;7,1;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;Sportwagen;mercedes sl;10419,00;0,009838462;1059007;1683;1608;6;1602;43,2;1558,8;13739;gasoline;8,4;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;MiniVan;B-Klasse;1001,00;0,002363955;423443;1651;1576;6;1570;33,75;1536,25;13739;diesel;5,6;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;GroﬂraumVans;peugeot 5008;11027;0,010412585;1059007;1847;1772;6;1766;39,15;1726,85;13739;gasoline;4,5;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;Utilities;ford transit ;8598,00;0,020304976;423443;2062;1987;6;1981;54;1927;13739;diesel;7;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
hev;Wohnwagen;land rover defender ;46,00;0,000108633;423443;2966;2891;6;2885;50,625;2834,375;13739;diesel;7,5;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,149;0;0;0,4;6;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
phev;Mini;not available ;0,00;0;1350000,00;0;0;0;0;0;0;13739;hybrid;0;0;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,149;0;0;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
phev;Kleinwagen;Golf;22489,57;0,01665894;1350000,00;1624;1549;130;1419;23,625;1395,375;13739;hybrid;1,1;14,4;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,149;64;;13;85;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
phev;Kompaktklasse;A3;276629,6738;0,20491087;1350000,00;1635;1560;130;1430;27;1403;13739;hybrid;1,1;14,4;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,149;66;73;12,8;85;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
phev;Mittelklasse;VWPassat;211825,67;0,156907902;1350000,00;1759;1684;130;1554;33,75;1520,25;13739;hybrid;1,3;16,3;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,149;;;13;85;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
phev;obereMittelklasse;E300e9G-Tronics;100521,63;0,074460465;1350000,00;1985;1910;135;1775;33,75;1741,25;13739;hybrid;1,5;17;;7,2;82,5;1,7;4,5;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;0,51;184,716;0;0;0,48;0;0;0,502;0;0,149;51;;13,5;90;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0
