unit;;;01.01.2023;;;ohne Aufteilung nach Diesel und hev;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kg];[%];[kWh/l];[kgCO2e/l];[kgCO2e/l];;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;;;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];[g co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[km];[km];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kg];[kg co2e/kg];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];;;;;;;;;;;;;;;;
Quelle;;;FZ27.11,KBA;;;;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN;DIN ;DIN ;;DIN ;DIN ;DIN ;;;;;DIN ;DIN ;DIN ;;;BA IFKM ;eigene Umrechnung;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;agora ;agora ;;;;;;;;;;;;;;
description;;;;;icev+hev are one class;;;;;;;;;;;;;;;;;;an Gesamt Benzin;eigene Berechnung;;;;eigene Berechnung;;;;;;;eigene Berechnung;;;;;;1kWh=3,6 MJ;;;;;;;;;;;;;;;;;;;;;;;Zahl mit 0,68 multipliziert;;;;;;;;;;;;;;
vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;share_on_total_vehicles_of_class;share_of_2022;total_number_of_cars_in_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;energy_E5_kWh;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;energy_E10_kWh;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;energy_diesel_kWh;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;co2e_hvo_WtW_kwh;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;range_wltp;range_wltp_city;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;former_emission_targets_germany_2030;former_emission_targets_germany_2030_fleet;new_emission_targets_germany_2030;new_emission_targets_germany_2030_fleet;emission_target_2025;emission_target_2030;emission_target_2035;emission_target_2040;emission_target_2045;emission_target_2050;emission_target_de_30;emission_target_de_40;emission_target_de_45;;;;;;;
hev;obereMittelklasse;;12226,85517;0,003237444;0,000992847;0,012226855;0;1972;1897;6;1891;43,875;1847,125;13000;diesel;7,4;0;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
hev;Oberklasse;;724,992066;0,000503893;2,24276E-05;0,000724992;0;2238;2163;6;2157;48,6;2108,4;13000;gasoline;9,5;0;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
hev;SUV;hyundai kona ;9340,537182;0,00649198;0,000288949;0,009340537;0;1698;1623;6;1617;34,425;1582,575;13000;gasoline;6,1;0;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
hev;Gel‰ndewagen;nissan x-trail;15451,39356;0,004091241;0,001254687;0,015451394;0;2005;1930;6;1924;39,15;1884,85;13000;diesel;7,1;0;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
hev;Sportwagen;;322,3115009;0,000224017;9,9707E-06;0,000322312;0;1683;1608;6;1602;43,2;1558,8;13000;gasoline;8,4;0;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
hev;MiniVan;;81,28337765;0,0000215;6,60039E-06;8,12834E-05;0;1651;1576;6;1570;33,75;1536,25;13000;diesel;5,6;0;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
hev;GroﬂraumVans;;341,1199655;0,00023709;1,05525E-05;0,00034112;0;1847;1772;6;1766;39,15;1726,85;13000;gasoline;4,5;0;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
hev;Utilities;;698,1763047;0,000184864;5,66934E-05;0,000698176;0;2062;1987;6;1981;54;1927;13000;diesel;7;0;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
hev;Wohnwagen;;3,735300072;0,000000989;3,03314E-07;3,7353E-06;0;2966;2891;6;2885;50,625;2834,375;13000;diesel;7,5;0;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0,4;6;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
phev;Mini;not available ;0;0;0;;2000000;0;0;0;0;0;0;13000;hybrid;0;0;;2,9;48,8;1,7;42;0,718;8,8;2,3;2,8;0,237;8,64;2,18;2,72;0,045;2,3;2,8;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,028;0;0;0;0;0;0;0;-48,4;-2,93;5,43E+11;95000000000;4,38E+11;85000000000;9,04E+10;6,05E+10;2,72E+10;7,48E+09;0;0,00E+00;5,78E+10;2,04E+10;0;;;;;;;
