unit;;;01.01.2023;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];;;;[kg CO2e];[kg CO2e];[kg CO2e];;
Quelle;;ADAC;FZ27.11,KBA;aus Baseline 22;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;BA IFKM ;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;;;;;;;;
description;;;; ;;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agora;agora;agora*0,68;;
vehicle_class;segments;used_model;number_of_cars_in_segment;share_of_segment_on_total_vehicles_of_class;total_number_of_cars_in_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;emission_target_de_30;emission_target_de_40;emission_target_de_45;path_emission_2030;path_emission_2040;path_emission_2045;ttw nutzung;ttw alle segmente
HEV;top range vehicle;A8 ;16878,37306;0,015937924;1059007;2238;2163;6;2157;48,6;2108,4;12545;gasoline;9;0;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0,4;6;0;0;0;0;-2,93;57800000000;20400000000;0;49000000000;2200000000;0;2564,704818;43288044,7
HEV;SUV;x1;217454,8916;0,205338484;1059007;1698;1623;6;1617;34,425;1582,575;12545;gasoline;6,3;0;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0,4;6;0;0;0;0;-2,93;57800000000;20400000000;0;49000000000;2200000000;0;1795,293373;390395325,7
HEV;off-road;nissan x-trail;54795,28742;0,129404164;423443;2005;1930;6;1924;39,15;1884,85;12545;diesel;7,1;0;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0,4;6;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;2208,9236;121038603,6
HEV;sportcar;mercedes sl;7503,659706;0,007085562;1059007;1683;1608;6;1602;43,2;1558,8;12545;gasoline;8,9;0;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0,4;6;0;0;0;0;-2,93;57800000000;20400000000;0;49000000000;2200000000;0;2536,208098;19030842,51
HEV;minivan;B-Klasse;288,2552972;0,000680742;423443;1651;1576;6;1570;33,75;1536,25;12545;diesel;6;0;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0,4;6;0;0;0;0;-2,93;57800000000;20400000000;0;49000000000;2200000000;0;1866,696;538085,0102
HEV;large van;peugeot 5008;7941,535232;0,007499039;1059007;1847;1772;6;1766;39,15;1726,85;12545;gasoline;5,7;0;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0,4;6;0;0;0;0;-2,93;57800000000;20400000000;0;49000000000;2200000000;0;1624,313051;12899539,32
HEV;Utilities;ford transit ;2475,943102;0,00584717;423443;2062;1987;6;1981;54;1927;12545;diesel;7,7;0;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0,4;6;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;2395,5932;5931352,459
HEV;caravan;land rover defender ;13,24649717;3,12828E-05;423443;2966;2891;6;2885;50,625;2834,375;12545;diesel;8,9;0;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0,4;6;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;2768,9324;36678,65521
PHEV;mini;not available ;0;0;5000000;0;0;0;0;0;0;12545;hybrid;0;0;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;0;0;0;0;0;0;-2,93;57800000000;20400000000;0;49000000000;2200000000;0;0;0
PHEV;smallcar;Golf;83294,69853;0,01665894;5000000;1624;1549;130;1419;23,625;1395,375;12545;hybrid;1,1;14,4;;2,9;48,8;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,152;13;85;0;0;0;0;-2,93;5,78E+10;2,04E+10;0;49000000000;2200000000;0;313,4639222;26109882,9
