unit;;;01.01.2023;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[km];[km];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];[kg CO2e];[kg CO2e];;;;;
Quelle;;;FZ27.11,KBA;aus Baseline 22;aus Studie ;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;BA IFKM ;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;Klimapfade 2.0 ;Klimapfade 2.0 ;;;;;
description;;;;;;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;referenzpfad 2030 * 0,68;referenzpfad 2030 * 0,68;;;;;
vehicle_class;segments;used_model;number_of_cars_in_segment;share_of_segment_on_total_vehicles_of_class;total_number_of_cars_in_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;range_wltp;range_wltp_city;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;path_emissiont_2030;path_emission_2045;emission_target_de_30;emission_target_de_40;emission_target_de_45;;
PHEV;Kleinwagen;Golf;22489,57;0,01665894;1350000,00;1624;1549;130;1419;23,625;1395,375;12545;hybrid;1,1;14,4;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;64;;13;85;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;313,4639222;7049668,383
PHEV;Kompaktklasse;A3;276629,6738;0,20491087;1350000,00;1635;1560;130;1430;27;1403;12545;hybrid;1,1;14,4;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;66;73;12,8;85;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;313,4639222;86713422,56
PHEV;Mittelklasse;VWPassat;211825,67;0,156907902;1350000,00;1759;1684;130;1554;33,75;1520,25;12545;hybrid;1,3;16,3;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;;;13;85;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;370,4573626;78472378,37
PHEV;obereMittelklasse;E300e9G-Tronics;100521,63;0,074460465;1350000,00;1985;1910;135;1775;33,75;1741,25;12545;hybrid;1,5;17;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;51;;13,5;90;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;427,450803;42968050,51
PHEV;Oberklasse;Porschepanamera;15039,99;0,011140731;1350000,00;2285;2210;179;2031;54;1977;12545;hybrid;2,3;23,6;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;54;;17,9;100;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;655,4245646;9857576,943
PHEV;SUV;Renaultcapture;416977,85;0,308872482;1350000,00;1616;1541;103;1438;26,325;1411,675;12545;hybrid;1,5;17,3;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;54;65;9,8;49;25;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;427,450803;178237517,1
PHEV;Gel‰ndewagen;volvoXC40;267571,571;0,198201164;1350000,00;1812;1737;107;1630;32,4;1597,6;12545;hybrid;2,1;15,2;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;45;55;10,7;60;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;598,4311242;160123156
PHEV;Sportwagen;Porschepanamera;3342,22;0,002475718;1350000,00;2285;2210;179;2031;54;1977;12545;hybrid;2,3;23,6;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;54;;17,9;100;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;655,4245646;2190572,654
PHEV;MiniVan;Peogeot3008;29017,54;0,021494471;1350000,00;1908;1833;142;1691;29,025;1661,975;12545;hybrid;1,3;15,3;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;63;74;14,2;81;83;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;370,4573626;10749759,98
PHEV;GroﬂraumVans;not available ;3,13;2,31809E-06;1350000,00;0;0;0;0;0;0;12545;hybrid;0;0;;7,2;82,5;1,7;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;0,51;0;0;0,48;0;0;0,502;0;0,149;0;0;0;0;0;0;0;-20;-2,93;79560000000;28600000000;5,78E+10;2,04E+10;0;0;0
