unit;;;01.01.2023;;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;;;;[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];[g co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];[kg CO2e];;[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];;;;
Quelle;;;FZ27.11,KBA; 1 ;1;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;BA IFKM ;eigene Umrechnung;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;Klimapfade 2.0 ;;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;Klimapfade 2.0 ;;;;
description;;;;;   ;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;1kWh=3,6 MJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;share_on_total_vehicles_of_class;total_number_of_cars_in_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;co2e_hvo_WtW_kwh;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;new_emission_targets_germany_2030_fleet;co2e_2025;co2e_2030;co2e_2035;emission_target_2040;co2e_2045;co2e_2050;emission_target_de_30;emission_target_de_40;emission_target_de_45
hev;Gel‰ndewagen;nissan x-trail;190283;0,004091241;0,129404164;1470455;2005;1930;6;1924;39,15;1884,85;13739;gasoline;7,1;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0,4;6;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
hev;Sportwagen;mercedes sl;10419;0,000224017;0,007085562;1470455;1683;1608;6;1602;43,2;1558,8;13739;gasoline;8,9;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0,4;6;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
hev;MiniVan;B-Klasse;1001;2,15223E-05;0,000680742;1470455;1651;1576;6;1570;33,75;1536,25;13739;gasoline;6;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0,4;6;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
hev;GroﬂraumVans;peugeot 5008;11027;0,00023709;0,007499039;1470455;1847;1772;6;1766;39,15;1726,85;13739;gasoline;5,7;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0,4;6;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
hev;Utilities;ford transit ;8598;0,000184864;0,00584717;1470455;2062;1987;6;1981;54;1927;13739;gasoline;7,7;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0,4;6;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
hev;Wohnwagen;land rover defender ;46;9,89038E-07;3,12828E-05;1470455;2966;2891;6;2885;50,625;2834,375;13739;gasoline;8,9;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0,4;6;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
phev;Mini;not available ;0;0;0;862780;0;0;0;0;0;0;13739;hybrid;0;0;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;0;0;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
phev;Kleinwagen;Golf;14373;0,000309031;0,01665894;862780;1624;1549;130;1419;23,625;1395,375;13739;hybrid;1,1;14,4;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;13;85;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
phev;Kompaktklasse;A3;176793;0,003801195;0,20491087;862780;1635;1560;130;1430;27;1403;13739;hybrid;1,1;14,4;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;12,8;85;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
phev;Mittelklasse;VWPassat;135377;0,002910717;0,156907902;862780;1759;1684;130;1554;33,75;1520,25;13739;hybrid;1,3;16,3;;7,2;82,5;4,5;42;0,718;2,3;2,8;0,237;2,18;2,72;0,045;2,3;2,8;1;2,48;3,15;0;0;51,31;184,716;0;0,2551;0,17;0;0,2619;0,07694;0;0,366;13;85;0;0;0;0;-2,93;57800000000;;57800000000;;;0;;5,78E+10;2,04E+10;0
